Task,Category,Baseline,Gold,Gold_model,Silver,Silver_model,Bronze,Bronze_model
Optics_holographic_multifocus_power_ratio,Optics & Communication Systems,0.3927,0.9999999999663148,gpt-5.4,0.8265,deepseek-v3.2,0.8072,claude-opus-4.6
Optics_holographic_multiplane_focusing,Optics & Communication Systems,0.3302,0.9999999999886867,gpt-5.4,0.7196,deepseek-v3.2,0.6002,claude-opus-4.6
Optics_phase_dammann_uniform_orders,Optics & Communication Systems,26.8969,99.99999999999999,gpt-5.4,99.7995,claude-opus-4.6,97.9498,gemini-3.1-pro-preview
Optics_phase_fourier_pattern_holography,Optics & Communication Systems,32.6457,99.99998936790779,gpt-5.4,82.1276,claude-opus-4.6,76.6371,gemini-3.1-pro-preview
PyPortfolioOpt_robust_mvo_rebalance,Operations Research & Decision Science,32.9804,99.99460428985267,gpt-5.4,99.9946,claude-opus-4.6,99.983,grok-4.20
QuantumComputing_task_01_routing_qftentangled,Computing & Quantum Information,0.209,6.507945106686525,gpt-5.4,5.0479,claude-opus-4.6,3.7681,glm-5
QuantumComputing_task_02_clifford_t_synthesis,Computing & Quantum Information,1.7134,7.4236,glm-5,1.7134,deepseek-v3.2/gemini-3.1-pro-preview/qwen3-coder-next/seed-2.0-pro,1.7134,deepseek-v3.2/gemini-3.1-pro-preview/qwen3-coder-next/seed-2.0-pro
QuantumComputing_task_03_cross_target_qaoa,Computing & Quantum Information,2.4149,5.103,deepseek-v3.2,5.0301,glm-5,2.9782,gemini-3.1-pro-preview/seed-2.0-pro
ReactionOptimisation_mit_case1_mixed,Physical Sciences & Engineering Design,87.3082,98.66214557690091,gpt-5.4,98.6621,claude-opus-4.6,98.6041,deepseek-v3.2
ReactionOptimisation_reizman_suzuki_pareto,Physical Sciences & Engineering Design,63.5202,82.9901,glm-5,82.3427,claude-opus-4.6,82.24612252072882,gpt-5.4
ReactionOptimisation_snar_multiobjective,Physical Sciences & Engineering Design,57.5234,100.0,gpt-5.4,87.3657,claude-opus-4.6,82.7881,deepseek-v3.2
Robotics_DynamicObstacleAvoidanceNavigation,"Robotics, Control & Energy Systems",0.0722,0.086,claude-opus-4.6,0.08571428571428559,gpt-5.4,0.0857,glm-5
Robotics_PIDTuning,"Robotics, Control & Energy Systems",0.0366,0.1632,claude-opus-4.6,0.1585,grok-4.20,0.1521,gemini-3.1-pro-preview
Robotics_QuadrupedGaitOptimization,"Robotics, Control & Energy Systems",0.0218,0.1085,glm-5,0.0749,deepseek-v3.2,0.0232,qwen3-coder-next
Robotics_RobotArmCycleTimeOptimization,"Robotics, Control & Energy Systems",0.2922,0.4356212836221511,gpt-5.4,0.4305,gemini-3.1-pro-preview,0.4219,glm-5
Robotics_UAVInspectionCoverageWithWind,"Robotics, Control & Energy Systems",28.8519,55.9109,grok-4.20,38.8024,deepseek-v3.2,35.1121,glm-5
SingleCellAnalysis_predict_modality,Physical Sciences & Engineering Design,0.5467,1.0,gpt-5.4,0.5467,claude-opus-4.6/deepseek-v3.2/gemini-3.1-pro-preview/glm-5/grok-4.20/qwen3-coder-next/seed-2.0-pro,0.5467,claude-opus-4.6/deepseek-v3.2/gemini-3.1-pro-preview/glm-5/grok-4.20/qwen3-coder-next/seed-2.0-pro
StructuralOptimization_ISCSO2015,Physical Sciences & Engineering Design,-5401.589,-968.4567,claude-opus-4.6,-1120.212,deepseek-v3.2,-1139.3354,glm-5
StructuralOptimization_ISCSO2023,Physical Sciences & Engineering Design,-77813242.9,-16477799.48,claude-opus-4.6,-17840974.17,glm-5,-20092179.33,gemini-3.1-pro-preview
StructuralOptimization_TopologyOptimization,Physical Sciences & Engineering Design,-195.9153,-185.7983,grok-4.20,-188.4673,glm-5,-189.3039,gemini-3.1-pro-preview
SustainableDataCenterControl_hand_written_control,"Robotics, Control & Energy Systems",8.3294,30.1873,qwen3-coder-next,29.2868,seed-2.0-pro,21.5657,claude-opus-4.6
WirelessChannelSimulation_HighReliableSimulation,Optics & Communication Systems,192.5193,304.0437,seed-2.0-pro,292.3228,claude-opus-4.6,291.9451,deepseek-v3.2
